task_id,image_id,phrase
4276__4367141,4276,pictures are in wall
4276__4367131,4276,white curtain
4276__4564267,4276,rug
4276__4367181,4276,wooden shelf
4276__4367138_4367177,4276,toys
4296__4541812,4296,frame
4296__4368312,4296,cabinets
4298__4368403,4298,sun flowers
4298__4368426,4298,walls
4298__4368421,4298,coffee maker on counter
4298__4368428,4298,stove
4307__4559107,4307,wall
4307__4559113,4307,shelf
4307__4688559,4307,counter
4307__4559119,4307,cabinet
4307__4559120,4307,sturdy cabinet door
4307__4368615,4307,black stool
4319__4369039,4319,ceiling
4319__4369045,4319,floor
4319__4369040,4319,lamp behind couch
4319__4369041,4319,white couch
4343__1071442_1071442,4343,spotless sky
4343__1071436,4343,wide building
4346__1558028,4346,circular light
4346__3661237,4346,desk has base
4346__1558027,4346,wooden table
4346__1558040,4346,red cushions
4350__1558125,4350,black top
4350__1558117,4350,statue in walkway
4350__1558121,4350,gray ceiling
4350__1558119,4350,gray floor
4368__4370227,4368,green tree
4368__4370226,4368,brown trunk
4368__4559346,4368,field
4368__4559361,4368,brown cattle
4368__4370222,4368,trees covered mountain
4377__1558576_1558575_1558579,4377,stairway
4377__1558584,4377,bushes
4377__1558596,4377,steps
4387__1558651,4387,white horse
4397__1036361,4397,laptop
4397__1036354,4397,purple sweater
4397__1036353,4397,woman with sweater
4397__1036358,4397,green trees
4397__1036374,4397,black wire
4397__1036356,4397,stand
4401__1059848,4401,full tree
4401__1059846,4401,dark blue sky
4404__3789355_3789354,4404,wood framed door
4404__1558746,4404,chair
4404__1558731,4404,white wall
4404__1558744,4404,leg of chair
4404__1558726,4404,doors
4409__4559563,4409,sand
4409__4559572_4371308,4409,grass
4415__1036390,4415,green grass
4415__1036386,4415,big church
4415__1036385,4415,white steeple
4415__1036388,4415,tall trees
4419__3690783,4419,ceiling
4419__3827031,4419,boy touching screen
4419__1558884,4419,boy wearing jacket
4419__1558887,4419,boy wearing tag
4419__3717648,4419,blue jacket
4444__1559210,4444,white clouds
4444__1559226,4444,railroad tracks
4444__1559233,4444,window
4444__1559215,4444,small building
4444__1559219,4444,white gate
4444__1559207,4444,red door
4453__3718100,4453,wooden table
4453__1559366,4453,wooden tray
4460__1559507_1559509,4460,wall
4460__1559505,4460,man holding paper
4460__3825464,4460,brown paper
4479__1036523,4479,blonde hair
